Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
34964924,The Seabird's Cry,Adam Nicolson,"Nicolson, Adam",,"=""1250134188""","=""9781250134189""",0,4.61,Henry Holt & Company,Hardcover,,2018,,,2017/08/06,to-read,to-read (#377),to-read,,,,0,,,0,,,,,,,
27574,A Tale of Love and Darkness,Amos Oz,"Oz, Amos",Nicholas de Lange,"=""015603252X""","=""9780156032520""",0,4.20,Mariner Books,Paperback,560,2005,2002,,2017/08/06,to-read,to-read (#376),to-read,,,,0,,,0,,,,,,,"Nonfiction|120;Cultural,Israel|99;Autobiography,Memoir|96;Biography|66"
7992363,HHhH,Laurent Binet,"Binet, Laurent",,"=""2246760011""","=""9782246760016""",0,4.07,Grasset,Paperback,442,2010,2009,,2017/08/06,to-read,to-read (#375),to-read,,,,0,,,0,,,,,,,"Fiction|296;Historical,Historical Fiction|276;War|118;War,World War II|80;Historical|73;Cultural,France|71"
537611,"House of Day, House of Night",Olga Tokarczuk,"Tokarczuk, Olga",Antonia Lloyd-Jones,"=""0810118920""","=""9780810118928""",0,4.08,Northwestern University Press,Paperback,293,2003,1998,,2017/08/06,to-read,to-read (#374),to-read,,,,0,,,0,,,,,,,"European Literature,Polish Literature|39;Fiction|31;Cultural,Poland|24;Short Stories|9;Magical Realism|8;Contemporary|6;Literary Fiction|5;Novels|4;Literature|4;Historical,Historical Fiction|2"
6617921,Primeval and Other Times,Olga Tokarczuk,"Tokarczuk, Olga",Antonia Lloyd-Jones,"=""8086264351""","=""9788086264356""",0,4.19,Twisted Spoon Press,Paperback,248,2010,1996,,2017/08/06,to-read,to-read (#373),to-read,,,,0,,,0,,,,,,,"European Literature,Polish Literature|49;Fiction|39;Cultural,Poland|25;Magical Realism|18;Fantasy|9"
35535012,Flights,Olga Tokarczuk,"Tokarczuk, Olga",,"=""""","=""9781925603149""",0,3.87,Text Publishing,Paperback,416,2017,2007,,2017/08/06,to-read,to-read (#372),to-read,,,,0,,,0,,,,,,,"European Literature,Polish Literature|27;Fiction|13;Cultural,Poland|10;Contemporary|4"
25614601,Sudden Death,Álvaro Enrigue,"Enrigue, Álvaro",Natasha Wimmer,"=""1594633460""","=""9781594633461""",0,3.71,Riverhead Books,Hardcover,272,2016,2013,,2017/08/06,to-read,to-read (#371),to-read,,,,0,,,0,,,,,,,"Historical,Historical Fiction|124;Fiction|116;Literary Fiction|21;Novels|16"
31525607,Welcome to Lagos,Chibundu Onuzo,"Onuzo, Chibundu",,"=""0571268943""","=""9780571268948""",0,3.82,Faber & Faber ,Paperback,368,2017,2017,,2017/08/06,to-read,to-read (#370),to-read,,,,0,,,0,,,,,,,"Fiction|27;Cultural,Africa|19;Contemporary|8;Western Africa,Nigeria|7"
29788,For the Relief of Unbearable Urges,Nathan Englander,"Englander, Nathan",,"=""0375704434""","=""9780375704437""",0,3.93,Vintage,Paperback,205,2000,1999,,2017/08/06,to-read,to-read (#369),to-read,,,,0,,,0,,,,,,,"Fiction|118;Literature,Jewish|35;Short Stories|21;Literature|13"
5586087,Zinky Boys: Soviet Voices from the Afghanistan War,Svetlana Alexievich,"Alexievich, Svetlana","Larry Heinemann, Julia Whitby, Robin Whitby","=""0393336867""","=""9780393336863""",0,4.34,W. W. Norton  Company,Paperback,224,1992,1989,,2017/08/06,to-read,to-read (#368),to-read,,,,0,,,0,,,,,,,"Nonfiction|111;History|98;War|50;Cultural,Russia|50"
